iter	Passed	Remaining
0	13	23731
1	24	22479
2	49	30304
3	77	35170
4	94	34538
5	106	32303
6	118	30666
7	141	32099
8	157	31742
9	167	30333
10	177	29248
11	187	28258
12	199	27838
13	211	27287
14	223	26904
15	233	26317
16	242	25725
17	251	25255
18	266	25319
19	276	24908
20	286	24548
21	296	24250
22	306	23970
23	317	23767
24	332	23932
25	355	24545
26	369	24589
27	382	24507
28	393	24363
29	404	24150
30	415	23992
31	428	23973
32	441	23940
33	453	23858
34	464	23736
35	474	23530
36	485	23425
37	495	23263
38	504	23096
39	515	22996
40	529	23012
41	547	23218
42	562	23266
43	573	23172
44	582	23010
45	595	22986
46	606	22911
47	618	22889
48	628	22743
49	637	22611
50	647	22493
51	656	22352
52	667	22275
53	677	22187
54	696	22384
55	713	22512
56	728	22574
57	738	22487
58	752	22486
59	763	22419
60	773	22331
61	782	22228
62	795	22233
63	815	22405
64	835	22600
65	847	22555
66	858	22487
67	869	22436
68	881	22412
69	891	22337
70	909	22455
71	925	22513
72	939	22512
73	950	22468
74	959	22361
75	970	22299
76	981	22259
77	997	22304
78	1010	22315
79	1019	22221
80	1029	22150
81	1044	22181
82	1054	22116
83	1066	22089
84	1075	21996
85	1086	21943
86	1096	21879
87	1108	21852
88	1118	21800
89	1129	21749
90	1138	21669
91	1151	21665
92	1161	21604
93	1171	21549
